year,scenario,CI_level,warming
1752.0,Low Demand,1.0,0.4247587809694145
1752.0,Net Zero 2050,0.0,-0.3774432337172421
1752.0,Net Zero 2050,0.05,-0.1654726697793367
1752.0,Net Zero 2050,0.16,-0.1059180405397044
1752.0,Net Zero 2050,0.5,0.0040587876210292
1752.0,Net Zero 2050,0.84,0.1220741227601305
1752.0,Net Zero 2050,0.95,0.2042444873019691
1752.0,Net Zero 2050,1.0,0.4247587809694145
1752.0,Below 2°C,0.0,-0.3774432337172421
1752.0,Below 2°C,0.05,-0.1654726697793367
1752.0,Below 2°C,0.16,-0.1059180405397044
1752.0,Below 2°C,0.5,0.0040587876210292
1752.0,Below 2°C,0.84,0.1220741227601305
1752.0,Below 2°C,0.95,0.2042444873019691
1752.0,Below 2°C,1.0,0.4247587809694145
1752.0,Delayed Transition,0.0,-0.3774432337172421
1752.0,Delayed Transition,0.05,-0.1654726697793367
1752.0,Delayed Transition,0.16,-0.1059180405397044
1752.0,Delayed Transition,0.5,0.0040587876210292
1752.0,Delayed Transition,0.84,0.1220741227601305
1752.0,Delayed Transition,0.95,0.2042444873019691
1752.0,Delayed Transition,1.0,0.4247587809694145
1752.0,Fragmented World,0.0,-0.3774432337172421
1752.0,Fragmented World,0.05,-0.1654726697793367
1752.0,Fragmented World,0.16,-0.1059180405397044
1752.0,Fragmented World,0.5,0.0040587876210292
1752.0,Fragmented World,0.84,0.1220741227601305
1752.0,Fragmented World,0.95,0.2042444873019691
1752.0,Fragmented World,1.0,0.4247587809694145
1752.0,Nationally Determined Contributions (NDCs),0.0,-0.3774432337172421
1752.0,Nationally Determined Contributions (NDCs),0.05,-0.1654726697793367
1752.0,Nationally Determined Contributions (NDCs),0.16,-0.1059180405397044
1752.0,Nationally Determined Contributions (NDCs),0.5,0.0040587876210292
1752.0,Nationally Determined Contributions (NDCs),0.84,0.1220741227601305
1752.0,Nationally Determined Contributions (NDCs),0.95,0.2042444873019691
1752.0,Nationally Determined Contributions (NDCs),1.0,0.4247587809694145
1752.0,Current Policies,0.0,-0.3774432337172421
1752.0,Current Policies,0.05,-0.1654726697793367
1752.0,Current Policies,0.16,-0.1059180405397044
1752.0,Current Policies,0.5,0.0040587876210292
1752.0,Current Policies,0.84,0.1220741227601305
1752.0,Current Policies,0.95,0.2042444873019691
1752.0,Current Policies,1.0,0.4247587809694145
1753.0,Low Demand,0.0,-0.31573652108514
1753.0,Low Demand,0.05,-0.1718019661830123
1753.0,Low Demand,0.16,-0.100077463876822
1753.0,Low Demand,0.5,0.0104554611508954
1753.0,Low Demand,0.84,0.1457784157901401
1753.0,Low Demand,0.95,0.2538062165073281
1753.0,Low Demand,1.0,0.5205201007441596
1753.0,Net Zero 2050,0.0,-0.31573652108514
1753.0,Net Zero 2050,0.05,-0.1718019661830123
1753.0,Net Zero 2050,0.16,-0.100077463876822
1753.0,Net Zero 2050,0.5,0.0104554611508954
1753.0,Net Zero 2050,0.84,0.1457784157901401
1753.0,Net Zero 2050,0.95,0.2538062165073281
1753.0,Net Zero 2050,1.0,0.5205201007441596
1753.0,Below 2°C,0.0,-0.31573652108514
1753.0,Below 2°C,0.05,-0.1718019661830123
1753.0,Below 2°C,0.16,-0.100077463876822
1753.0,Below 2°C,0.5,0.0104554611508954
1753.0,Below 2°C,0.84,0.1457784157901401
1753.0,Below 2°C,0.95,0.2538062165073281
1753.0,Below 2°C,1.0,0.5205201007441596
1753.0,Delayed Transition,0.0,-0.31573652108514
1753.0,Delayed Transition,0.05,-0.1718019661830123
1753.0,Delayed Transition,0.16,-0.100077463876822
1753.0,Delayed Transition,0.5,0.0104554611508954
1753.0,Delayed Transition,0.84,0.1457784157901401
1753.0,Delayed Transition,0.95,0.2538062165073281
1753.0,Delayed Transition,1.0,0.5205201007441596
1753.0,Fragmented World,0.0,-0.31573652108514
1753.0,Fragmented World,0.05,-0.1718019661830123
1753.0,Fragmented World,0.16,-0.100077463876822
1753.0,Fragmented World,0.5,0.0104554611508954
1753.0,Fragmented World,0.84,0.1457784157901401
1753.0,Fragmented World,0.95,0.2538062165073281
1753.0,Fragmented World,1.0,0.5205201007441596
1753.0,Nationally Determined Contributions (NDCs),0.0,-0.31573652108514
1753.0,Nationally Determined Contributions (NDCs),0.05,-0.1718019661830123
1753.0,Nationally Determined Contributions (NDCs),0.16,-0.100077463876822
1753.0,Nationally Determined Contributions (NDCs),0.5,0.0104554611508954
1753.0,Nationally Determined Contributions (NDCs),0.84,0.1457784157901401
1753.0,Nationally Determined Contributions (NDCs),0.95,0.2538062165073281
1753.0,Nationally Determined Contributions (NDCs),1.0,0.5205201007441596
1753.0,Current Policies,0.0,-0.31573652108514
1753.0,Current Policies,0.05,-0.1718019661830123
1753.0,Current Policies,0.16,-0.100077463876822
1753.0,Current Policies,0.5,0.0104554611508954
1753.0,Current Policies,0.84,0.1457784157901401
1753.0,Current Policies,0.95,0.2538062165073281
1753.0,Current Policies,1.0,0.5205201007441596
1754.0,Low Demand,0.0,-0.3373009669853957
1754.0,Low Demand,0.05,-0.1805510384460407
1754.0,Low Demand,0.16,-0.0996437336534103
1754.0,Low Demand,0.5,0.0180146585054519
1754.0,Low Demand,0.84,0.1476667737090035
1754.0,Low Demand,0.95,0.233367083401888
1754.0,Low Demand,1.0,0.4556855437813023
1754.0,Net Zero 2050,0.0,-0.3373009669853957
1754.0,Net Zero 2050,0.05,-0.1805510384460407
